label,score,sentence,file
negative,0.9573771953582764,"Such events can make it difficult or impossible for the Company to manufacture and deliver products to its customers, create delays and inefficiencies in the Company’s supply and manufacturing chain, and result in slowdowns and outages to the Company’s service offerings, and negatively impact consumer spending and demand in affected areas.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.9479897022247314,"Therefore, although the Company has not realized any significant losses on its cash, cash equivalents and marketable securities, future fluctuations in their value could result in significant losses and could have a material adverse impact on the Company’s results of operations and financial condition.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.9409139156341553,"For example, the global semiconductor industry has in the past experienced high demand and shortages of supply, which adversely affected the Company’s ability to obtain sufficient quantities of components and products on commercially reasonable terms or at all.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.9058578610420227,"Changing the Company’s operations in accordance with new or changed restrictions on international trade can be expensive, time-consuming and disruptive to the Company’s operations.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.9046189188957214,"New and changing laws and regulations can adversely affect the Company’s business by increasing the Company’s costs, limiting the Company’s ability to offer a product, service or feature to customers, imposing changes to the design of the Company’s products and services, impacting customer demand for the Company’s products and services, and requiring changes to the Company’s supply chain and its business.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.9030927419662476,"These attacks seek to compromise the confidentiality, integrity or availability of confidential information or disrupt normal business operations, and can, among other things, impair the Company’s ability to attract and retain customers for its products and services, impact the Company’s stock price, materially damage commercial relationships, and expose the Company to litigation or government investigations, which could result in penalties, fines or judgments against the Company.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.8833065629005432,"Restrictions on international trade, such as tariffs and other controls on imports or exports of goods, technology or data, can materially adversely affect the Company’s operations and supply chain and limit the Company’s ability to offer and distribute its products and services to customers.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.7960261702537537,"Further, such an outcome can result in significant compensatory, punitive or trebled monetary damages, disgorgement of revenue or profits, remedial corporate measures or injunctive relief against the Company, and has from time to time required, and can in the future require, the Company to change its business practices and limit the Company’s ability to offer certain products and services, all of which could materially adversely affect the Company’s business, reputation, results of operations and financial condition.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.7741467952728271,"For example, tensions between governments, including the U.S. and China, have in the past led to tariffs and other restrictions being imposed on the Company’s business.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.7385346293449402,"Restrictive measures can require the Company to take various actions, including changing suppliers, restructuring business relationships, and ceasing to offer third-party applications on its platforms.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.6228307485580444,"Except as described in Part I, Item 3 of this Form 10-K under the heading “Legal Proceedings” and in Part II, Item 8 of this Form 10-K in the Notes to Consolidated Financial Statements in Note 12, “Commitments, Contingencies and Supply Concentrations” under the heading “Contingencies,” in the opinion of management, there was not at least a reasonable possibility the Company may have incurred a material loss, or a material loss greater than a recorded accrual, concerning loss contingencies for asserted legal and other claims.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
