label,score,sentence,file
negative,0.9723824262619019,The Company expects its quarterly revenue and operating results to fluctuate.,risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
negative,0.9706456661224365,The Company records a write-down for product and component inventories that have become obsolete or exceed anticipated demand or net realizable value and accrues necessary cancellation fee reserves for orders of excess products and components.,risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
negative,0.9704588055610657,The Company’s products and services may experience quality problems from time to time that can result in decreased sales and operating margin and harm to the Company’s reputation.,risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
negative,0.9694105386734009,"Failure to do so could result in lost revenue, significant warranty and other expenses and harm to the Company’s reputation.",risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
negative,0.9690061807632446,"Due to the high cost structure associated with the Company’s retail stores, a decline in sales or the closure or poor performance of individual or multiple stores could result in significant lease termination costs, write-offs of equipment and leasehold improvements and severance costs.",risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
negative,0.9670830368995667,Price competition has been particularly intense as competitors have aggressively cut prices and lowered product margins.,risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
negative,0.9667792320251465,Many resellers have been adversely affected in the past by weak economic conditions.,risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
negative,0.9652025103569031,"The Company could also be subject to unexpected developments late in a quarter, such as lower-than-anticipated demand for the Company’s products, issues with new product introductions, an internal systems failure, or failure of one of the Company’s logistics, components supply, or manufacturing partners.",risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
negative,0.9630911946296692,"Such events could decrease demand for the Company’s products, make it difficult or impossible for the Company to make and deliver products to its customers, including channel partners, or to receive components from its suppliers, and create delays and inefficiencies in the Company’s supply chain.",risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
negative,0.9625344276428223,"Further, the Company generates a majority of its net sales from a single product and a decline in demand for that product could significantly impact quarterly net sales.",risk_ffb58afc-aa5d-4b55-8d12-8e0937575a35_2025.txt
