word,frequency,compound,negative,neutral,positive
conflict,0.1558321355215834,-0.3182,1.0,0.0,0.0
defect,0.2893734519567988,-0.34,1.0,0.0,0.0
damages,0.5343665631209924,-0.4404,1.0,0.0,0.0
gross,1.1666346839717048,-0.4767,1.0,0.0,0.0
damaged,0.02275830678197542,-0.4404,1.0,0.0,0.0
turmoil,0.04523526789683269,-0.3612,1.0,0.0,0.0
stop,0.19778787108949505,-0.296,1.0,0.0,0.0
weaken,0.17812218770699753,-0.4215,1.0,0.0,0.0
pay,0.02275830678197542,-0.1027,1.0,0.0,0.0
interruption,0.443896027327327,-0.3612,1.0,0.0,0.0
