word,count,percentage,sentiment
terrorist,1,0.02,-0.691
terrorism,3,0.05,-0.681
disaster,1,0.02,-0.625
war,3,0.05,-0.599
negative,4,0.07,-0.572
disasters,6,0.11,-0.557
harm,5,0.09,-0.542
fail,2,0.04,-0.542
suffer,2,0.04,-0.542
violations,2,0.04,-0.527
violated,1,0.02,-0.527
punitive,1,0.02,-0.511
failure,9,0.16,-0.511
failing,1,0.02,-0.511
worsen,1,0.02,-0.511
violate,1,0.02,-0.494
damage,2,0.04,-0.494
accident,1,0.02,-0.477
infringement,3,0.05,-0.477
poor,4,0.07,-0.477
gross,7,0.13,-0.477
failures,6,0.11,-0.459
attacks,9,0.16,-0.44
unemployment,1,0.02,-0.44
damages,3,0.05,-0.44
fails,4,0.07,-0.421
weaken,1,0.02,-0.421
injury,1,0.02,-0.421
recession,1,0.02,-0.421
waste,1,0.02,-0.421
losses,11,0.2,-0.402
problems,2,0.04,-0.402
defects,7,0.13,-0.402
error,2,0.04,-0.402
inadequate,2,0.04,-0.402
tensions,1,0.02,-0.402
inability,1,0.02,-0.402
interruptions,3,0.05,-0.402
lose,2,0.04,-0.402
restrict,2,0.04,-0.382
distraction,1,0.02,-0.382
hostile,1,0.02,-0.382
dissatisfied,1,0.02,-0.382
severe,1,0.02,-0.382
unsecured,1,0.02,-0.382
difficult,2,0.04,-0.361
interruption,3,0.05,-0.361
debt,1,0.02,-0.361
adverse,20,0.36,-0.361
suspicious,1,0.02,-0.361
disruption,2,0.04,-0.361
disruptions,10,0.18,-0.34
errors,1,0.02,-0.34
uncertainties,3,0.05,-0.34
fire,1,0.02,-0.34
uncertainty,3,0.05,-0.34
defect,2,0.04,-0.34
pressures,2,0.04,-0.318
weakening,1,0.02,-0.318
critical,2,0.04,-0.318
disruptive,2,0.04,-0.318
aggressively,1,0.02,-0.318
anti,1,0.02,-0.318
faulty,1,0.02,-0.318
lost,2,0.04,-0.318
delay,3,0.05,-0.318
accidents,6,0.11,-0.318
loss,8,0.14,-0.318
lower,3,0.05,-0.296
avoid,2,0.04,-0.296
pressure,2,0.04,-0.296
uncertain,2,0.04,-0.296
obsolete,1,0.02,-0.296
stop,1,0.02,-0.296
distracting,2,0.04,-0.296
disputes,7,0.13,-0.273
low,1,0.02,-0.273
charges,3,0.05,-0.273
cut,1,0.02,-0.273
risks,22,0.39,-0.273
limited,5,0.09,-0.226
delayed,2,0.04,-0.226
vulnerable,1,0.02,-0.226
litigation,12,0.22,-0.202
risky,1,0.02,-0.202
liabilities,4,0.07,-0.202
liability,5,0.09,-0.202
adversely,56,1.0,-0.202
aggressive,2,0.04,-0.153
affected,23,0.41,-0.153
expose,1,0.02,-0.153
shortages,5,0.09,-0.153
lowered,1,0.02,-0.128
demand,21,0.38,-0.128
ineffective,1,0.02,-0.128
exposes,2,0.04,-0.128
imposing,1,0.02,-0.103
