word,count,percentage,sentiment
terrorist,1,0.02,-0.691
terrorism,3,0.06,-0.681
disaster,1,0.02,-0.625
war,3,0.06,-0.599
negative,4,0.08,-0.572
disasters,6,0.12,-0.557
suffer,2,0.04,-0.542
harm,4,0.08,-0.542
violated,1,0.02,-0.527
violations,2,0.04,-0.527
worsen,1,0.02,-0.511
failure,9,0.18,-0.511
punitive,1,0.02,-0.511
violate,1,0.02,-0.494
damage,2,0.04,-0.494
poor,3,0.06,-0.477
infringement,4,0.08,-0.477
accident,1,0.02,-0.477
gross,7,0.14,-0.477
failures,6,0.12,-0.459
damages,3,0.06,-0.44
unemployment,1,0.02,-0.44
attacks,2,0.04,-0.44
fails,4,0.08,-0.421
injury,1,0.02,-0.421
recession,1,0.02,-0.421
weaken,1,0.02,-0.421
inadequate,2,0.04,-0.402
inability,1,0.02,-0.402
problems,2,0.04,-0.402
interruptions,3,0.06,-0.402
tensions,1,0.02,-0.402
defects,7,0.14,-0.402
lose,2,0.04,-0.402
losses,11,0.22,-0.402
error,2,0.04,-0.402
distraction,1,0.02,-0.382
restrict,2,0.04,-0.382
hostile,1,0.02,-0.382
severe,1,0.02,-0.382
unsecured,1,0.02,-0.382
dissatisfied,1,0.02,-0.382
interruption,3,0.06,-0.361
adverse,18,0.35,-0.361
disruption,2,0.04,-0.361
suspicious,1,0.02,-0.361
debt,1,0.02,-0.361
difficult,2,0.04,-0.361
disruptions,9,0.18,-0.34
fire,1,0.02,-0.34
errors,1,0.02,-0.34
defect,2,0.04,-0.34
uncertainties,3,0.06,-0.34
uncertainty,3,0.06,-0.34
pressures,2,0.04,-0.318
loss,7,0.14,-0.318
critical,2,0.04,-0.318
weakening,1,0.02,-0.318
disruptive,2,0.04,-0.318
lost,1,0.02,-0.318
delay,2,0.04,-0.318
aggressively,1,0.02,-0.318
anti,2,0.04,-0.318
faulty,1,0.02,-0.318
accidents,6,0.12,-0.318
limitation,1,0.02,-0.296
distracting,2,0.04,-0.296
avoid,1,0.02,-0.296
obsolete,1,0.02,-0.296
stop,2,0.04,-0.296
lower,3,0.06,-0.296
pressure,2,0.04,-0.296
uncertain,2,0.04,-0.296
charges,1,0.02,-0.273
risks,14,0.28,-0.273
low,1,0.02,-0.273
cut,1,0.02,-0.273
disputes,7,0.14,-0.273
limited,10,0.2,-0.226
vulnerable,1,0.02,-0.226
delayed,2,0.04,-0.226
risky,1,0.02,-0.202
liability,5,0.1,-0.202
adversely,44,0.87,-0.202
liabilities,4,0.08,-0.202
litigation,10,0.2,-0.202
shortages,4,0.08,-0.153
expose,1,0.02,-0.153
affected,21,0.41,-0.153
aggressive,2,0.04,-0.153
lowered,1,0.02,-0.128
ineffective,1,0.02,-0.128
exposes,2,0.04,-0.128
demand,19,0.37,-0.128
constrained,1,0.02,-0.103
imposing,1,0.02,-0.103
imposed,1,0.02,-0.077
exposed,5,0.1,-0.077
preventing,1,0.02,-0.026
involving,1,0.02,0.0
others,2,0.04,0.0
alleged,1,0.02,0.0
magnitude,1,0.02,0.0
faced,1,0.02,0.0
continues,1,0.02,0.0
relating,4,0.08,0.0
enabled,1,0.02,0.0
corruption,1,0.02,0.0
enter,2,0.04,0.0
increasing,2,0.04,0.0
foreign,18,0.35,0.0
holding,1,0.02,0.0
royalties,1,0.02,0.0
export,1,0.02,0.0
conducting,1,0.02,0.0
frequently,3,0.06,0.0
unknowingly,1,0.02,0.0
import,1,0.02,0.0
assert,1,0.02,0.0
example,6,0.12,0.0
preclude,1,0.02,0.0
notified,1,0.02,0.0
selling,1,0.02,0.0
tax,13,0.26,0.0
unfavorable,2,0.04,0.0
laundering,1,0.02,0.0
proceedings,6,0.12,0.0
investigations,11,0.22,0.0
arisen,1,0.02,0.0
onerous,1,0.02,0.0
