word,count,percentage,sentiment
terrorist,1,0.02,-0.691
terrorism,3,0.05,-0.681
disaster,1,0.02,-0.625
war,1,0.02,-0.599
negative,3,0.05,-0.572
disasters,6,0.1,-0.557
suffer,2,0.03,-0.542
fail,2,0.03,-0.542
harm,5,0.09,-0.542
violations,2,0.03,-0.527
violated,1,0.02,-0.527
worsen,1,0.02,-0.511
failure,11,0.19,-0.511
failing,1,0.02,-0.511
damage,2,0.03,-0.494
violate,1,0.02,-0.494
violation,3,0.05,-0.494
accident,1,0.02,-0.477
infringement,3,0.05,-0.477
gross,6,0.1,-0.477
poor,3,0.05,-0.477
failures,6,0.1,-0.459
exploited,1,0.02,-0.459
banned,1,0.02,-0.459
unemployment,1,0.02,-0.44
damages,3,0.05,-0.44
attacks,10,0.17,-0.44
fails,4,0.07,-0.421
injury,1,0.02,-0.421
waste,1,0.02,-0.421
recession,1,0.02,-0.421
weaken,1,0.02,-0.421
tensions,6,0.1,-0.402
error,2,0.03,-0.402
losses,11,0.19,-0.402
problems,2,0.03,-0.402
defects,7,0.12,-0.402
inability,1,0.02,-0.402
lose,2,0.03,-0.402
interruptions,3,0.05,-0.402
inadequate,2,0.03,-0.402
distraction,1,0.02,-0.382
dissatisfied,1,0.02,-0.382
unsecured,1,0.02,-0.382
restrict,1,0.02,-0.382
conflicts,1,0.02,-0.382
severe,2,0.03,-0.382
hostile,1,0.02,-0.382
disagree,1,0.02,-0.382
adverse,19,0.33,-0.361
interruption,3,0.05,-0.361
difficult,2,0.03,-0.361
debt,1,0.02,-0.361
suspicious,1,0.02,-0.361
disruption,1,0.02,-0.361
uncertainty,4,0.07,-0.34
fire,1,0.02,-0.34
defect,2,0.03,-0.34
errors,2,0.03,-0.34
disruptions,10,0.17,-0.34
uncertainties,5,0.09,-0.34
critical,3,0.05,-0.318
weakening,1,0.02,-0.318
pressures,3,0.05,-0.318
aggressively,1,0.02,-0.318
anti,1,0.02,-0.318
loss,6,0.1,-0.318
accidents,6,0.1,-0.318
conflict,5,0.09,-0.318
disruptive,2,0.03,-0.318
delay,3,0.05,-0.318
faulty,1,0.02,-0.318
lost,2,0.03,-0.318
pressure,2,0.03,-0.296
stop,1,0.02,-0.296
uncertain,2,0.03,-0.296
avoid,2,0.03,-0.296
lower,7,0.12,-0.296
obsolete,1,0.02,-0.296
cut,1,0.02,-0.273
risks,27,0.47,-0.273
charges,1,0.02,-0.273
low,1,0.02,-0.273
exposing,1,0.02,-0.273
disputes,6,0.1,-0.273
limited,4,0.07,-0.226
vulnerable,1,0.02,-0.226
delayed,3,0.05,-0.226
liability,4,0.07,-0.202
liabilities,6,0.1,-0.202
risky,1,0.02,-0.202
adversely,53,0.92,-0.202
litigation,14,0.24,-0.202
shortages,5,0.09,-0.153
vulnerabilities,1,0.02,-0.153
lawsuits,1,0.02,-0.153
