word,count,percentage,sentiment
terrorist,1,0.02,-0.691
terrorism,3,0.07,-0.681
disaster,2,0.04,-0.625
war,3,0.07,-0.599
negative,2,0.04,-0.572
disasters,5,0.11,-0.557
harm,3,0.07,-0.542
suffer,2,0.04,-0.542
violations,4,0.09,-0.527
failure,10,0.22,-0.511
worsen,1,0.02,-0.511
punitive,1,0.02,-0.511
violation,1,0.02,-0.494
damage,2,0.04,-0.494
violate,2,0.04,-0.494
gross,6,0.13,-0.477
accident,1,0.02,-0.477
poor,2,0.04,-0.477
infringement,5,0.11,-0.477
failures,6,0.13,-0.459
damages,3,0.07,-0.44
unemployment,2,0.04,-0.44
attacks,2,0.04,-0.44
weaken,1,0.02,-0.421
fails,4,0.09,-0.421
problems,2,0.04,-0.402
defects,5,0.11,-0.402
losses,12,0.27,-0.402
inadequate,2,0.04,-0.402
interruptions,2,0.04,-0.402
error,2,0.04,-0.402
lose,1,0.02,-0.402
inability,4,0.09,-0.402
hostile,1,0.02,-0.382
dissatisfied,1,0.02,-0.382
severe,1,0.02,-0.382
restrict,1,0.02,-0.382
distraction,1,0.02,-0.382
unsecured,1,0.02,-0.382
turmoil,1,0.02,-0.361
debt,2,0.04,-0.361
adverse,8,0.18,-0.361
suspicious,1,0.02,-0.361
interruption,1,0.02,-0.361
difficult,2,0.04,-0.361
disruption,2,0.04,-0.361
defect,1,0.02,-0.34
uncertainty,3,0.07,-0.34
fire,1,0.02,-0.34
disruptions,7,0.16,-0.34
errors,1,0.02,-0.34
uncertainties,5,0.11,-0.34
loss,6,0.13,-0.318
critical,2,0.04,-0.318
anti,4,0.09,-0.318
aggressively,1,0.02,-0.318
delay,3,0.07,-0.318
disruptive,1,0.02,-0.318
faulty,1,0.02,-0.318
accidents,3,0.07,-0.318
weakening,1,0.02,-0.318
lost,1,0.02,-0.318
lower,4,0.09,-0.296
obsolete,1,0.02,-0.296
distracting,1,0.02,-0.296
pressure,1,0.02,-0.296
avoid,2,0.04,-0.296
stop,1,0.02,-0.296
uncertain,2,0.04,-0.296
charges,2,0.04,-0.273
low,2,0.04,-0.273
cut,1,0.02,-0.273
disputes,3,0.07,-0.273
risks,14,0.31,-0.273
delayed,1,0.02,-0.226
postpone,1,0.02,-0.226
vulnerable,1,0.02,-0.226
limited,9,0.2,-0.226
risky,1,0.02,-0.202
liabilities,3,0.07,-0.202
litigation,7,0.16,-0.202
adversely,22,0.49,-0.202
liability,3,0.07,-0.202
affected,13,0.29,-0.153
shortages,3,0.07,-0.153
expose,1,0.02,-0.153
aggressive,2,0.04,-0.153
ineffective,1,0.02,-0.128
demand,16,0.36,-0.128
lowered,1,0.02,-0.128
constrained,1,0.02,-0.103
imposing,1,0.02,-0.103
exposed,3,0.07,-0.077
preventing,1,0.02,-0.026
corporate,3,0.07,0.0
injunctive,1,0.02,0.0
measures,6,0.13,0.0
insurance,5,0.11,0.0
maintains,2,0.04,0.0
aggregate,2,0.04,0.0
types,3,0.07,0.0
laws,24,0.54,0.0
regulations,16,0.36,0.0
individually,2,0.04,0.0
domestic,2,0.04,0.0
areas,2,0.04,0.0
activities,5,0.11,0.0
advertising,1,0.02,0.0
billing,1,0.02,0.0
commerce,2,0.04,0.0
promotions,1,0.02,0.0
coverage,4,0.09,0.0
remedial,1,0.02,0.0
man,1,0.02,0.0
variety,3,0.07,0.0
environmental,3,0.07,0.0
actions,4,0.09,0.0
military,1,0.02,0.0
recognition,1,0.02,0.0
considerations,1,0.02,0.0
settle,1,0.02,0.0
opinion,1,0.02,0.0
least,1,0.02,0.0
possibility,1,0.02,0.0
incurred,1,0.02,0.0
recorded,1,0.02,0.0
accrual,1,0.02,0.0
disgorgement,1,0.02,0.0
contingencies,1,0.02,0.0
inherently,2,0.04,0.0
considers,1,0.02,0.0
likelihood,2,0.04,0.0
commercial,1,0.02,0.0
remote,1,0.02,0.0
reporting,2,0.04,0.0
period,3,0.07,0.0
compensatory,1,0.02,0.0
made,3,0.07,0.0
telecommunications,2,0.04,0.0
trebled,1,0.02,0.0
monetary,1,0.02,0.0
outcome,5,0.11,0.0
communications,2,0.04,0.0
expenses,7,0.16,0.0
ownership,1,0.02,0.0
dates,1,0.02,0.0
compliance,6,0.13,0.0
onerous,1,0.02,0.0
inconsistent,2,0.04,0.0
jurisdiction,4,0.09,0.0
doing,2,0.04,0.0
rise,1,0.02,0.0
interpretation,2,0.04,0.0
regions,2,0.04,0.0
practices,2,0.04,0.0
implemented,3,0.07,0.0
policies,4,0.09,0.0
procedures,5,0.11,0.0
shipment,1,0.02,0.0
designed,2,0.04,0.0
agents,2,0.04,0.0
assembly,1,0.02,0.0
final,3,0.07,0.0
derives,1,0.02,0.0
portion,3,0.07,0.0
earnings,5,0.11,0.0
comply,3,0.07,0.0
europe,1,0.02,0.0
accrued,1,0.02,0.0
sole,1,0.02,0.0
cases,2,0.04,0.0
country,2,0.04,0.0
another,1,0.02,0.0
applicable,2,0.04,0.0
television,1,0.02,0.0
modifications,1,0.02,0.0
processes,3,0.07,0.0
disrupted,1,0.02,0.0
public,6,0.13,0.0
import,2,0.04,0.0
export,2,0.04,0.0
destinations,1,0.02,0.0
corruption,2,0.04,0.0
controls,2,0.04,0.0
repatriation,2,0.04,0.0
transit,1,0.02,0.0
privacy,5,0.11,0.0
way,1,0.02,0.0
locations,4,0.09,0.0
operates,1,0.02,0.0
testing,1,0.02,0.0
extensive,2,0.04,0.0
others,3,0.07,0.0
locking,1,0.02,0.0
finished,2,0.04,0.0
impact,8,0.18,0.0
carrier,2,0.04,0.0
mandating,1,0.02,0.0
certification,2,0.04,0.0
regulation,1,0.02,0.0
governmental,5,0.11,0.0
perform,1,0.02,0.0
standardization,1,0.02,0.0
bodies,2,0.04,0.0
networks,1,0.02,0.0
among,8,0.18,0.0
tax,14,0.31,0.0
internationally,1,0.02,0.0
expensive,2,0.04,0.0
lessen,1,0.02,0.0
protection,4,0.09,0.0
piracy,1,0.02,0.0
developers,8,0.18,0.0
decisions,1,0.02,0.0
cease,1,0.02,0.0
developed,1,0.02,0.0
maintained,1,0.02,0.0
choose,2,0.04,0.0
buy,1,0.02,0.0
perception,1,0.02,0.0
intended,4,0.09,0.0
relative,4,0.09,0.0
force,1,0.02,0.0
developing,4,0.09,0.0
upgrading,3,0.07,0.0
compared,2,0.04,0.0
position,1,0.02,0.0
interfere,1,0.02,0.0
unexpectedly,1,0.02,0.0
generated,1,0.02,0.0
causes,1,0.02,0.0
bugs,1,0.02,0.0
question,1,0.02,0.0
complex,1,0.02,0.0
less,2,0.04,0.0
reputation,8,0.18,0.0
inclined,2,0.04,0.0
maintaining,2,0.04,0.0
upgrade,1,0.02,0.0
legislation,2,0.04,0.0
passed,2,0.04,0.0
contracts,3,0.07,0.0
includes,1,0.02,0.0
right,3,0.07,0.0
music,1,0.02,0.0
detect,1,0.02,0.0
