word,count,percentage,sentiment
terrorist,1,0.02,-0.691
terrorism,3,0.05,-0.681
disaster,1,0.02,-0.625
war,3,0.05,-0.599
negative,3,0.05,-0.572
disasters,6,0.11,-0.557
fail,2,0.04,-0.542
harm,6,0.11,-0.542
suffer,2,0.04,-0.542
violated,1,0.02,-0.527
violations,2,0.04,-0.527
failing,1,0.02,-0.511
punitive,1,0.02,-0.511
failure,11,0.19,-0.511
worsen,1,0.02,-0.511
damage,2,0.04,-0.494
violation,2,0.04,-0.494
violate,1,0.02,-0.494
poor,3,0.05,-0.477
gross,6,0.11,-0.477
accident,1,0.02,-0.477
infringement,3,0.05,-0.477
failures,6,0.11,-0.459
banned,1,0.02,-0.459
unemployment,1,0.02,-0.44
damages,3,0.05,-0.44
attacks,10,0.18,-0.44
recession,1,0.02,-0.421
waste,1,0.02,-0.421
weaken,1,0.02,-0.421
injury,1,0.02,-0.421
fails,4,0.07,-0.421
error,2,0.04,-0.402
inadequate,2,0.04,-0.402
losses,11,0.19,-0.402
inability,1,0.02,-0.402
interruptions,3,0.05,-0.402
problems,2,0.04,-0.402
defects,7,0.12,-0.402
tensions,1,0.02,-0.402
lose,2,0.04,-0.402
severe,3,0.05,-0.382
hostile,1,0.02,-0.382
unsecured,1,0.02,-0.382
restrict,1,0.02,-0.382
dissatisfied,1,0.02,-0.382
conflicts,1,0.02,-0.382
disagree,1,0.02,-0.382
distraction,1,0.02,-0.382
adverse,21,0.37,-0.361
disruption,1,0.02,-0.361
debt,1,0.02,-0.361
suspicious,1,0.02,-0.361
interruption,3,0.05,-0.361
difficult,2,0.04,-0.361
errors,1,0.02,-0.34
disruptions,9,0.16,-0.34
uncertainties,5,0.09,-0.34
uncertainty,4,0.07,-0.34
fire,1,0.02,-0.34
defect,2,0.04,-0.34
disruptive,2,0.04,-0.318
accidents,6,0.11,-0.318
faulty,1,0.02,-0.318
lost,2,0.04,-0.318
delay,3,0.05,-0.318
weakening,1,0.02,-0.318
anti,1,0.02,-0.318
loss,9,0.16,-0.318
pressures,3,0.05,-0.318
conflict,2,0.04,-0.318
critical,3,0.05,-0.318
aggressively,1,0.02,-0.318
uncertain,2,0.04,-0.296
lower,4,0.07,-0.296
avoid,2,0.04,-0.296
obsolete,1,0.02,-0.296
stop,1,0.02,-0.296
pressure,2,0.04,-0.296
risks,23,0.41,-0.273
disputes,7,0.12,-0.273
cut,1,0.02,-0.273
charges,3,0.05,-0.273
low,1,0.02,-0.273
limited,4,0.07,-0.226
delayed,3,0.05,-0.226
vulnerable,1,0.02,-0.226
adversely,54,0.95,-0.202
liability,4,0.07,-0.202
liabilities,6,0.11,-0.202
litigation,13,0.23,-0.202
risky,1,0.02,-0.202
affected,21,0.37,-0.153
aggressive,2,0.04,-0.153
expose,2,0.04,-0.153
shortages,5,0.09,-0.153
exposes,2,0.04,-0.128
