word,frequency,compound,negative,neutral,positive
company,63.630803795521004,0.0,0.0,1.0,0.0
business,9.524229051758141,0.0,0.0,1.0,0.0
reputation,2.2727447349864196,0.0,0.0,1.0,0.0
results,5.964740274795548,0.0,0.0,1.0,0.0
operations,6.124385854996426,0.0,0.0,1.0,0.0
financial,8.853859331703879,0.0,0.0,1.0,0.0
condition,5.207857561625218,0.0,0.0,1.0,0.0
stock,2.4517699438420215,0.0,0.0,1.0,0.0
price,3.384950361386751,0.0,0.0,1.0,0.0
affected,3.2926162998089117,-0.1531,1.0,0.0,0.0
number,1.8622974341514802,0.0772,0.0,0.0,1.0
currently,1.6257125072996836,0.0,0.0,1.0,0.0
known,0.17812218770699753,0.0,0.0,1.0,0.0
unknown,0.17812218770699753,0.0,0.0,1.0,0.0
including,6.044130420247836,0.0,0.0,1.0,0.0
described,0.5944532752290123,0.0,0.0,1.0,0.0
below,0.17812218770699753,0.0,0.0,1.0,0.0
risks,3.1675728024639414,-0.2732,1.0,0.0,0.0
materialize,0.06981805801140478,0.0,0.0,1.0,0.0
time,3.8674919413000666,0.0,0.0,1.0,0.0
materially,5.089010713498622,0.0,0.0,1.0,0.0
adversely,7.192703539742034,-0.2023,1.0,0.0,0.0
well,1.2364175351827746,0.2732,0.0,0.0,1.0
affecting,0.8163864687787947,0.0,0.0,1.0,0.0
past,0.659133821590094,0.0,0.0,1.0,0.0
performance,2.079897063333254,0.0,0.0,1.0,0.0
considered,0.24794024571840226,0.0,0.0,1.0,0.0
reliable,0.17812218770699753,0.0,0.0,1.0,0.0
indicator,0.17812218770699753,0.0,0.0,1.0,0.0
future,4.2040042944761815,0.0,0.0,1.0,0.0
investors,0.22999658880112253,0.0,0.0,1.0,0.0
use,2.018381352996382,0.0,0.0,1.0,0.0
historical,0.17812218770699753,0.0,0.0,1.0,0.0
trends,0.35624437541399506,0.0,0.0,1.0,0.0
anticipate,0.17812218770699753,0.0,0.0,1.0,0.0
periods,0.6560590222265222,0.0,0.0,1.0,0.0
discussion,0.35624437541399506,0.0,0.0,1.0,0.0
contains,0.17812218770699753,0.0,0.0,1.0,0.0
forward,0.35624437541399506,0.0,0.0,1.0,0.0
looking,0.17812218770699753,0.0,0.0,1.0,0.0
statements,1.4934215358158391,0.0,0.0,1.0,0.0
read,0.17812218770699753,0.0,0.0,1.0,0.0
conjunction,0.17812218770699753,0.0,0.0,1.0,0.0
management,1.7250129150499443,0.0,0.0,1.0,0.0
analysis,0.579601831017825,0.0,0.0,1.0,0.0
consolidated,0.3388832643028839,0.0,0.0,1.0,0.0
accompanying,0.11125126424980132,0.0,0.0,1.0,0.0
supplementary,0.17812218770699753,0.0,0.0,1.0,0.0
data,3.0267576172141544,0.0,0.0,1.0,0.0
form,0.508907452315395,0.0,0.0,1.0,0.0
macroeconomic,0.33480000889297223,0.0,0.0,1.0,0.0
industry,1.9021694720866296,0.0,0.0,1.0,0.0
depend,0.9797326708468113,0.0,0.0,1.0,0.0
significantly,1.3208486566021993,0.0,0.0,1.0,0.0
global,2.8632214490642705,0.0,0.0,1.0,0.0
regional,0.9915945200032632,0.0,0.0,1.0,0.0
economic,2.6017672117465303,0.0,0.0,1.0,0.0
conditions,2.5714435363433794,0.0,0.0,1.0,0.0
adverse,2.650347791450301,-0.3612,1.0,0.0,0.0
affect,4.667396902284759,0.0,0.0,1.0,0.0
international,3.474555592584642,0.0,0.0,1.0,0.0
